# Nmap 7.99 scan initiated Wed Apr 29 11:24:02 2026 as: /usr/lib/nmap/nmap --privileged -sS -o 3.0.txt 192.168.3.0/24
Warning: 192.168.3.11 giving up on port because retransmission cap hit (10).
Nmap scan report for 192.168.3.1
Host is up (0.10s latency).
Not shown: 685 closed tcp ports (reset)
PORT      STATE SERVICE
1163/tcp  open  sddp
1164/tcp  open  qsm-proxy
1165/tcp  open  qsm-gui
1166/tcp  open  qsm-remote
1174/tcp  open  fnet-remote-ui
1185/tcp  open  catchpole
1199/tcp  open  dmidi
1201/tcp  open  nucleus-sand
1213/tcp  open  mpc-lifenet
1247/tcp  open  visionpyramid
1272/tcp  open  cspmlockmgr
1417/tcp  open  timbuktu-srv1
1434/tcp  open  ms-sql-m
1443/tcp  open  ies-lm
1500/tcp  open  vlsi-lm
1501/tcp  open  sas-3
1761/tcp  open  landesk-rc
1974/tcp  open  drp
2020/tcp  open  xinupageserver
2021/tcp  open  servexec
2030/tcp  open  device2
2033/tcp  open  glogger
2041/tcp  open  interbase
2042/tcp  open  isis
2048/tcp  open  dls-monitor
2065/tcp  open  dlsrpn
2103/tcp  open  zephyr-clt
2105/tcp  open  eklogin
2119/tcp  open  gsigatekeeper
2121/tcp  open  ccproxy-ftp
2126/tcp  open  pktcable-cops
2170/tcp  open  eyetv
2366/tcp  open  qip-login
2394/tcp  open  ms-olap2
2557/tcp  open  nicetec-mgmt
2601/tcp  open  zebra
2638/tcp  open  sybase
2717/tcp  open  pn-requester
2718/tcp  open  pn-requester2
2910/tcp  open  tdaccess
2967/tcp  open  symantec-av
3000/tcp  open  ppp
3001/tcp  open  nessus
3003/tcp  open  cgms
3006/tcp  open  deslogind
3011/tcp  open  trusted-web
3030/tcp  open  arepa-cas
3052/tcp  open  powerchute
3168/tcp  open  poweronnud
3268/tcp  open  globalcatLDAP
3324/tcp  open  active-net
3325/tcp  open  active-net
3389/tcp  open  ms-wbt-server
3390/tcp  open  dsc
3493/tcp  open  nut
3546/tcp  open  unknown
3551/tcp  open  apcupsd
3689/tcp  open  rendezvous
3827/tcp  open  netmpi
3871/tcp  open  avocent-adsap
3920/tcp  open  exasoftport1
3945/tcp  open  emcads
3998/tcp  open  dnx
4000/tcp  open  remoteanything
4002/tcp  open  mlchat-proxy
4003/tcp  open  pxc-splr-ft
4125/tcp  open  rww
4126/tcp  open  ddrepl
4443/tcp  open  pharos
4445/tcp  open  upnotifyp
4848/tcp  open  appserv-http
4899/tcp  open  radmin
5050/tcp  open  mmcc
5054/tcp  open  rlm-admin
5120/tcp  open  barracuda-bbs
5200/tcp  open  targus-getdata
5225/tcp  open  hp-server
5405/tcp  open  pcduo
5414/tcp  open  statusd
5431/tcp  open  park-agent
5432/tcp  open  postgresql
5550/tcp  open  sdadmind
5560/tcp  open  isqlplus
5566/tcp  open  westec-connect
5730/tcp  open  unieng
5802/tcp  open  vnc-http-2
5810/tcp  open  unknown
5811/tcp  open  unknown
5815/tcp  open  unknown
5850/tcp  open  unknown
5901/tcp  open  vnc-1
5904/tcp  open  ag-swim
5915/tcp  open  unknown
5952/tcp  open  unknown
5986/tcp  open  wsmans
5987/tcp  open  wbem-rmi
6002/tcp  open  X11:2
6003/tcp  open  X11:3
6005/tcp  open  X11:5
6100/tcp  open  synchronet-db
6101/tcp  open  backupexec
6129/tcp  open  unknown
6543/tcp  open  mythtv
6547/tcp  open  powerchuteplus
6567/tcp  open  esp
6689/tcp  open  tsa
6839/tcp  open  unknown
6969/tcp  open  acmsoda
7001/tcp  open  afs3-callback
7200/tcp  open  fodms
7201/tcp  open  dlip
7921/tcp  open  unknown
7938/tcp  open  lgtomapper
8001/tcp  open  vcom-tunnel
8002/tcp  open  teradataordbms
8007/tcp  open  ajp12
8010/tcp  open  xmpp
8011/tcp  open  unknown
8021/tcp  open  ftp-proxy
8022/tcp  open  oa-system
8045/tcp  open  unknown
8086/tcp  open  d-s-n
8099/tcp  open  unknown
8194/tcp  open  sophos
8200/tcp  open  trivnet1
8222/tcp  open  unknown
8291/tcp  open  winbox
8333/tcp  open  bitcoin
8651/tcp  open  unknown
8800/tcp  open  sunwebadmin
8899/tcp  open  ospf-lite
9003/tcp  open  unknown
9011/tcp  open  d-star
9100/tcp  open  jetdirect
9575/tcp  open  unknown
9593/tcp  open  cba8
9944/tcp  open  unknown
10004/tcp open  emcrmirccd
10009/tcp open  swdtp-sv
10012/tcp open  unknown
10024/tcp open  unknown
10215/tcp open  unknown
10626/tcp open  unknown
10629/tcp open  unknown
11111/tcp open  vce
13456/tcp open  unknown
13722/tcp open  netbackup
14238/tcp open  unknown
15004/tcp open  unknown
15742/tcp open  unknown
16016/tcp open  unknown
16113/tcp open  unknown
18101/tcp open  unknown
20031/tcp open  unknown
20221/tcp open  unknown
26214/tcp open  unknown
30000/tcp open  ndmps
30718/tcp open  unknown
31337/tcp open  Elite
32768/tcp open  filenet-tms
32771/tcp open  sometimes-rpc5
32773/tcp open  sometimes-rpc9
32775/tcp open  sometimes-rpc13
32777/tcp open  sometimes-rpc17
34571/tcp open  unknown
34572/tcp open  unknown
41511/tcp open  unknown
42510/tcp open  caerpc
44176/tcp open  unknown
44442/tcp open  coldfusion-auth
44443/tcp open  coldfusion-auth
48080/tcp open  unknown
49154/tcp open  unknown
49155/tcp open  unknown
49400/tcp open  compaqdiag
49999/tcp open  unknown
50001/tcp open  unknown
50002/tcp open  iiimsf
50300/tcp open  unknown
50636/tcp open  unknown
52822/tcp open  unknown
55055/tcp open  unknown
55600/tcp open  unknown
57797/tcp open  unknown
60443/tcp open  unknown

Nmap scan report for 192.168.3.12
Host is up (0.29s latency).
Not shown: 826 filtered tcp ports (no-response)
PORT      STATE SERVICE
3/tcp     open  compressnet
17/tcp    open  qotd
21/tcp    open  ftp
22/tcp    open  ssh
32/tcp    open  unknown
37/tcp    open  time
42/tcp    open  nameserver
81/tcp    open  hosts2-ns
84/tcp    open  ctf
135/tcp   open  msrpc
139/tcp   open  netbios-ssn
146/tcp   open  iso-tp0
163/tcp   open  cmip-man
255/tcp   open  unknown
280/tcp   open  http-mgmt
306/tcp   open  unknown
311/tcp   open  asip-webadmin
407/tcp   open  timbuktu
427/tcp   open  svrloc
444/tcp   open  snpp
445/tcp   open  microsoft-ds
548/tcp   open  afp
631/tcp   open  ipp
648/tcp   open  rrp
667/tcp   open  disclose
777/tcp   open  multiling-http
808/tcp   open  ccproxy-http
880/tcp   open  unknown
901/tcp   open  samba-swat
987/tcp   open  unknown
992/tcp   open  telnets
1030/tcp  open  iad1
1037/tcp  open  ams
1039/tcp  open  sbl
1056/tcp  open  vfo
1057/tcp  open  startron
1058/tcp  open  nim
1066/tcp  open  fpo-fns
1069/tcp  open  cognex-insight
1070/tcp  open  gmrupdateserv
1071/tcp  open  bsquare-voip
1075/tcp  open  rdrmshc
1083/tcp  open  ansoft-lm-1
1094/tcp  open  rootd
1108/tcp  open  ratio-adp
1124/tcp  open  hpvmmcontrol
1138/tcp  open  encrypted_admin
1145/tcp  open  x9-icue
1147/tcp  open  capioverlan
1198/tcp  open  cajo-discovery
1236/tcp  open  bvcontrol
1271/tcp  open  excw
1272/tcp  open  cspmlockmgr
1309/tcp  open  jtag-server
1433/tcp  open  ms-sql-s
1455/tcp  open  esl-lm
1503/tcp  open  imtc-mcs
1533/tcp  open  virtual-places
1600/tcp  open  issd
1721/tcp  open  caicci
1782/tcp  open  hp-hcip
1863/tcp  open  msnp
1864/tcp  open  paradym-31
1971/tcp  open  netop-school
1999/tcp  open  tcp-id-port
2001/tcp  open  dc
2004/tcp  open  mailbox
2035/tcp  open  imsldoc
2038/tcp  open  objectmanager
2043/tcp  open  isis-bcast
2047/tcp  open  dls
2160/tcp  open  apc-2160
2196/tcp  open  unknown
2366/tcp  open  qip-login
2383/tcp  open  ms-olap4
2399/tcp  open  fmpro-fdal
2522/tcp  open  windb
2604/tcp  open  ospfd
2701/tcp  open  sms-rcinfo
2702/tcp  open  sms-xfer
2725/tcp  open  msolap-ptp2
2800/tcp  open  acc-raid
2869/tcp  open  icslap
3052/tcp  open  powerchute
3221/tcp  open  xnm-clear-text
3261/tcp  open  winshadow
3300/tcp  open  ceph
3333/tcp  open  dec-notes
3351/tcp  open  btrieve
3370/tcp  open  satvid-datalnk
3389/tcp  open  ms-wbt-server
3390/tcp  open  dsc
3737/tcp  open  xpanel
3814/tcp  open  neto-dcs
3826/tcp  open  wormux
3869/tcp  open  ovsam-mgmt
3914/tcp  open  listcrt-port-2
4001/tcp  open  newoak
4005/tcp  open  pxc-pin
4224/tcp  open  xtell
4449/tcp  open  privatewire
4567/tcp  open  tram
5004/tcp  open  avt-profile-1
5009/tcp  open  airport-admin
5033/tcp  open  jtnetd-server
5061/tcp  open  sip-tls
5100/tcp  open  admd
5102/tcp  open  admeng
5221/tcp  open  3exmp
5226/tcp  open  hp-status
5298/tcp  open  presence
5357/tcp  open  wsdapi
5902/tcp  open  vnc-2
5910/tcp  open  cm
5915/tcp  open  unknown
5925/tcp  open  unknown
5950/tcp  open  unknown
5962/tcp  open  unknown
5985/tcp  open  wsman
5988/tcp  open  wbem-http
5999/tcp  open  ncd-conf
6000/tcp  open  X11
6004/tcp  open  X11:4
6009/tcp  open  X11:9
6025/tcp  open  x11
6106/tcp  open  isdninfo
6112/tcp  open  dtspc
6346/tcp  open  gnutella
6389/tcp  open  clariion-evr01
6666/tcp  open  irc
6881/tcp  open  bittorrent-tracker
6901/tcp  open  jetstream
7106/tcp  open  unknown
7777/tcp  open  cbt
7778/tcp  open  interwise
7920/tcp  open  unknown
8084/tcp  open  websnp
8087/tcp  open  simplifymedia
8093/tcp  open  unknown
8192/tcp  open  sophos
8254/tcp  open  unknown
8290/tcp  open  unknown
8500/tcp  open  fmtp
9000/tcp  open  cslistener
9001/tcp  open  tor-orport
9071/tcp  open  unknown
9090/tcp  open  zeus-admin
9111/tcp  open  DragonIDSConsole
9500/tcp  open  ismserver
9594/tcp  open  msgsys
9876/tcp  open  sd
9943/tcp  open  unknown
10243/tcp open  unknown
10566/tcp open  unknown
10617/tcp open  unknown
12174/tcp open  unknown
16000/tcp open  fmsas
16001/tcp open  fmsascon
17877/tcp open  unknown
19780/tcp open  unknown
20221/tcp open  unknown
20222/tcp open  ipulse-ics
27715/tcp open  unknown
31038/tcp open  unknown
32770/tcp open  sometimes-rpc3
33354/tcp open  unknown
45100/tcp open  unknown
